"","gene","mlcalc","hypo","value"
"108","ndhB","RAxML","Hypo 4",0.0014047538337137
"459","rpl33","RAxML","Hypo 3",0.00138924439894498
"460","rpl33","RAxML","Hypo 4",0.00138924439894498
"467","rpl36","RAxML","Hypo 3",0.00137437258412703
"468","rpl36","RAxML","Hypo 4",0.00137437258412703
"121","ndhD","RAxML","Hypo 1",0.00135569170536667
"371","psbN","RAxML","Hypo 3",0.00135030860670194
"145","ndhG","RAxML","Hypo 1",0.0013228756555323
"273","psbA","RAxML","Hypo 1",0.00131751027826478
"417","rpl2","RAxML","Hypo 1",0.00130511813003013
"489","rpoC1","RAxML","Hypo 1",0.00130511813003013
"258","psaI","RAxML","Hypo 2",0.00128572936499094
"257","psaI","RAxML","Hypo 1",0.00128554787282829
"553","rps19","RAxML","Hypo 1",0.00128321211548728
"238","psaA","IQTree","Hypo 2",0.00127410099024109
"169","ndhJ","RAxML","Hypo 1",0.00127064288190401
"369","psbN","RAxML","Hypo 1",0.00123423390543824
"498","rpoC2","RAxML","Hypo 2",0.00123228784516173
"499","rpoC2","RAxML","Hypo 3",0.00123228784516173
"500","rpoC2","RAxML","Hypo 4",0.00123228784516173
"629","ycf4","IQTree","Hypo 1",0.00121656620589811
"304","psbD","IQTree","Hypo 4",0.00120138808606267
"413","rpl16","IQTree","Hypo 1",0.00117410959170485
"237","psaA","IQTree","Hypo 1",0.00115902257671425
"30","atpE","IQTree","Hypo 2",0.00115470053837925
"31","atpE","IQTree","Hypo 3",0.00115470053837925
"32","atpE","IQTree","Hypo 4",0.00115470053837925
"47","atpH","IQTree","Hypo 3",0.00111849601399975
"48","atpH","IQTree","Hypo 4",0.00111849601399975
"141","ndhF","IQTree","Hypo 1",0.0010816653826392
"129","ndhE","RAxML","Hypo 1",0.00106202887594139
"477","rpoA","IQTree","Hypo 1",0.00105313816757347
"197","petB","IQTree","Hypo 1",0.0010336343647538
"439","rpl22","IQTree","Hypo 3",0.00102021239618686
"198","petB","IQTree","Hypo 2",0.001
"199","petB","IQTree","Hypo 3",0.001
"200","petB","IQTree","Hypo 4",0.001
"43","atpH","RAxML","Hypo 3",0.000985038070330279
"44","atpH","RAxML","Hypo 4",0.000985038070330279
"430","rpl20","IQTree","Hypo 2",0.00098488578017961
"431","rpl20","IQTree","Hypo 3",0.00098488578017961
"432","rpl20","IQTree","Hypo 4",0.00098488578017961
"400","rbcL","IQTree","Hypo 4",0.000937354433143266
"205","petD","IQTree","Hypo 1",0.00091489525812157
"130","ndhE","RAxML","Hypo 2",0.000908625335328044
